Año	Mes	Dia	Hora	Min	Seg	Lat	Lon	Profundidad	Magnitud
2003	5	22	8	3	26,2	-31,555	-71,681	32,6	3,5
2003	5	23	2	33	10,7	-30,620	-71,713	15,1	3
2003	5	24	23	25	24,1	-30,864	-71,954	2,5	2,6
2003	5	25	21	29	27,1	-30,921	-71,946	28,7	2,8
2003	5	25	23	27	31,4	-32,336	-71,810	11,6	3,4
2003	5	26	17	21	35,3	-32,704	-69,775	136,2	3,1
2003	5	26	18	52	16,4	-33,716	-71,402	48,3	3,4
2003	5	27	12	37	47,8	-33,041	-72,828	29,5	3
2003	5	27	14	35	40,1	-32,639	-70,103	118,6	2,8
2003	5	28	13	51	1	-32,826	-70,409	96,4	2,3
2003	5	29	2	3	46,6	-32,434	-71,488	24	4,3
2003	5	29	4	45	17,8	-31,449	-70,626	95	3
2003	5	31	10	0	25,2	-30,699	-71,378	41,3	3,1
2003	6	1	8	21	3,4	-32,434	-71,474	17,9	4
2003	6	1	17	50	31,9	-33,124	-70,260	6,1	3,6
2003	6	1	18	11	35,9	-33,170	-70,299	6,6	3,4
2003	6	1	20	1	39,2	-33,879	-70,287	105	2,7
2003	6	2	3	30	39,3	-32,949	-71,989	2,6	3,5
2003	6	2	4	28	37	-32,951	-72,118	15	3,4
2003	6	2	4	55	12,5	-32,932	-72,104	14,9	3,9
2003	6	2	5	20	1	-30,523	-71,587	13	3,7
2003	6	2	5	21	17,3	-32,960	-72,097	14	3,3
2003	6	2	5	37	59,9	-33,013	-71,971	15	3,6
2003	6	2	6	56	17,2	-31,577	-69,777	146,6	3,9
2003	6	2	7	52	47,6	-32,979	-72,003	19,4	4,1
2003	6	2	8	58	41,4	-32,934	-71,946	9,6	4,2
2003	6	2	9	8	53,3	-32,959	-72,075	15,8	3,6
2003	6	2	11	15	28,2	-32,963	-72,035	15	3,3
2003	6	2	11	37	49	-32,929	-72,101	32,4	4,3
2003	6	2	13	46	33,1	-32,955	-72,021	29,3	4,6
2003	6	2	21	16	40,8	-32,586	-71,095	15	3,1
2003	6	2	23	40	49,2	-32,935	-72,089	11,5	4
2003	6	3	3	37	51,8	-32,976	-72,106	11,1	3,8
2003	6	3	6	22	48	-32,454	-70,151	111,4	2,9
2003	6	3	7	29	50,9	-33,964	-70,381	102,5	3,1
2003	6	4	2	3	21,2	-32,492	-71,773	14,2	2,8
2003	6	4	7	30	48,5	-29,240	-71,257	55	3,4
2003	6	4	11	18	11,8	-31,384	-69,571	154,5	3,9
2003	6	4	11	58	51,9	-32,971	-72,003	21,6	3
2003	6	4	14	7	10,5	-31,390	-69,055	162,4	3,6
2003	6	4	21	20	34,1	-33,137	-70,246	1	2,2
2003	6	5	0	54	59,3	-32,928	-72,132	10,9	3,7
2003	6	6	6	50	45	-30,837	-70,976	73,8	2,3
2003	6	6	12	43	34,2	-33,084	-71,998	28,6	3,1
2003	6	6	13	43	46,2	-33,040	-72,043	15	3,8
2003	6	6	13	48	34	-32,769	-70,180	100,5	3,1
2003	6	6	21	40	50,1	-33,937	-71,920	39	3,3
2003	6	7	17	5	57,5	-31,874	-71,558	60,1	2,7
2003	6	7	23	32	33,5	-31,789	-72,149	21	4,1
2003	6	8	1	16	7,7	-32,930	-72,096	8	3,8
2003	6	8	1	39	34,2	-32,918	-72,117	31,7	3,4
2003	6	8	4	12	12,5	-31,791	-72,172	23	4
2003	6	8	4	33	45	-32,889	-72,136	31	3,8
2003	6	8	5	53	25,6	-33,588	-71,471	46	3,2
2003	6	8	6	7	58,2	-32,945	-72,158	19,4	4
2003	6	8	15	43	3,8	-31,823	-71,945	1,2	3,4
2003	6	9	4	44	26,7	-31,732	-70,192	123,8	3,5
2003	6	9	4	59	10,4	-33,377	-71,990	12,8	3,6
2003	6	9	11	50	6	-32,702	-70,038	99,9	3
2003	6	9	16	53	32,1	-33,107	-71,201	64,4	2,6
2003	6	9	20	56	46,1	-33,127	-70,314	15,2	3,8
2003	6	10	1	7	57	-30,054	-71,649	20,4	2,9
2003	6	10	11	42	19,4	-33,411	-70,886	71,3	3,1
2003	6	10	13	27	19,1	-31,949	-71,179	50	4,2
2003	6	11	5	30	48,4	-28,154	-70,320	42,2	4,8
2003	6	13	6	40	43,5	-29,369	-69,734	128,8	3,5
2003	6	13	11	51	32,3	-32,955	-72,052	11,2	3,4
2003	6	14	0	10	33,3	-33,139	-70,301	1	3,7
2003	6	14	12	16	25,4	-30,273	-69,408	145	3,3
2003	6	14	14	57	54,7	-32,094	-71,090	72,6	3
2003	6	15	4	30	26,3	-30,915	-71,965	15,4	2,9
2003	6	15	5	54	25,8	-30,604	-69,804	133,3	2,7
2003	6	15	7	23	37,9	-32,032	-69,554	147,4	2,6
2003	6	15	18	11	49,3	-31,574	-71,521	64	3,3
2003	6	15	22	15	38,9	-31,827	-70,457	129,2	2,6
2003	6	16	15	10	23,5	-33,936	-71,144	71,6	5,2
2003	6	16	20	25	41,4	-31,615	-71,522	33,2	3,1
2003	6	17	19	48	11,3	-31,481	-71,694	12,5	3,6
2003	6	17	22	40	28,9	-33,934	-71,111	72	2,2
2003	6	18	19	13	30,7	-32,421	-70,425	111,9	3
2003	6	19	7	17	14,5	-29,462	-71,590	42,6	3,6
2003	6	20	2	19	47,9	-30,752	-71,661	15	3,3
2003	6	20	2	32	8,1	-30,718	-71,665	8,7	3,4
2003	6	20	2	43	22,6	-30,705	-71,645	33,1	2,9
2003	6	20	3	6	47,2	-30,701	-71,726	15,2	2,8
2003	6	20	4	27	31,7	-30,725	-71,693	15	2,7
2003	6	20	11	1	41,4	-30,424	-71,583	24,4	2,9
2003	6	20	14	16	41,9	-30,682	-71,580	10,3	3,4
2003	6	20	14	40	56,3	-30,635	-71,602	43,7	3,6
2003	6	20	15	7	17	-30,720	-71,587	34,6	3,9
2003	6	20	15	16	42	-30,741	-71,805	14,7	4,3
2003	6	20	15	31	58,2	-30,707	-71,585	18,6	3,7
2003	6	20	17	40	58,5	-30,751	-71,657	20,9	3,5
2003	6	20	17	56	52,9	-30,678	-71,561	39,1	4
2003	6	20	18	15	53,6	-30,711	-71,650	19,8	3,9
2003	6	20	18	30	1,5	-30,672	-71,600	33,6	4,1
2003	6	20	19	17	19	-30,704	-71,729	27	3,5
2003	6	20	19	19	3,2	-30,672	-71,715	25,5	3,8
2003	6	20	19	20	32,9	-30,712	-71,662	29,9	3,9
2003	6	20	19	56	54,3	-30,729	-71,623	15	4,1
2003	6	20	20	0	30,4	-30,683	-71,647	28,1	4,1
2003	6	20	20	5	43	-30,638	-71,649	37	3,6
2003	6	20	20	19	45,1	-30,714	-71,703	31,6	4,2
2003	6	20	20	38	3,3	-30,690	-71,713	24,3	3,9
2003	6	20	21	57	43,6	-30,713	-71,790	20,1	3,3
2003	6	20	23	15	43,6	-30,732	-71,677	15	3,8
2003	6	20	23	49	47	-30,716	-71,661	33,3	4,1
2003	6	21	0	18	34,2	-30,613	-71,700	12,4	3,2
2003	6	21	0	43	54	-30,666	-71,576	34,1	2,8
2003	6	21	1	20	51,5	-30,647	-71,789	15	4
